bid_no,item,quantity,contract_value,unit_price,seller,buyer_org,ministry,contract_date
GEM/2026/B/7558509,Custom Bid for Services - REQU...,1,,,,,,
GEM/2026/B/7569607,"TABLET,Laptop",98,,,,,,
GEM/2026/B/7540344,"LAPTOP MII,TABLET MII,MOBILE M...",44,,,,,,
GEM/2026/B/7646260,"AC System,Telephone Exchange,C...",659,,,,,,
GEM/2026/B/7616397,"High End Laptop,Mid Level Desk...",28,,,,,,
GEM/2026/B/7619094,HP Laptop (Model: Elitebook 84...,1,,,,,,
GEM/2026/B/7664337,Entry and Mid Level Laptop - N...,2,,,,,,
GEM/2026/B/7509998,Entry and Mid Level Laptop - N...,12,,,,,,
GEM/2026/B/7694738,Annual Maintenance Service - D...,15,,,,,,
GEM/2026/B/7625971,Annual Maintenance Service - D...,190,,,,,,
