gem_bid_id,l1_price,l2_price,l3_price,l1_seller,num_bidders,price_spread_pct
GEM/2026/B/7650669,170253.0,188855.0,194180.0,HARYANA TRADERS(MSE)Under PMA,3,14.05
GEM/2026/B/7651833,298788.0,301200.0,301860.0,PRIYANKA ENTERPRISESUnder PMA,3,1.03
GEM/2026/B/7601699,84800.0,85000.0,,KRISHNA COURIERUnder PMA,2,
GEM/2026/B/7560762,948800.0,1050000.0,1650000.0,M/S TSERING ANGCHOK contractor(MII)Under PMA,3,73.9
GEM/2026/B/7662879,24785.0,25150.0,74879.0,RETICINE PHARMAIDS LIMITED(MSE)Under PMA,3,202.11
GEM/2026/B/7638771,1028242.0,1029312.0,1038236.0,"AZAD ENTERPRISES(MSE,MII)Under PMA",3,0.97
GEM/2026/B/7608825,1919860.0,2459650.0,2474050.0,"KARTIK INFRA(MSE,MII)Under PMA",3,28.87
GEM/2026/B/7657059,32416.0,44500.0,49250.0,ROYAL BIOTECHUnder PMA,3,51.93
GEM/2026/B/7576500,876000.0,879000.0,880000.0,"M/S SINGH ENTERPRISES(MSE,MII)Under PMA",3,0.46
GEM/2026/B/7594972,496250.0,520625.0,535560.0,"M/S PR ENTERPRISES(MSE,MII)Under PMA",3,7.92
GEM/2026/B/7643791,394050.0,394500.0,410000.0,ORIGIN SOLUTIONSUnder PMA,5,4.05
GEM/2026/B/7484375,556875.0,562500.0,1872500.0,Sarvamangala Industries(MII)Under PMA,3,236.25
GEM/2026/B/7557568,6342300.0,6350400.0,,SHILPI TRADING CO.(MII)Under PMA,2,
GEM/2026/B/7594980,787866.0,790183.0,873057.0,PITAMBRA TRADERS(MSE)Under PMA,3,10.81
GEM/2026/B/7646335,95000.0,98500.0,101000.0,"VEERANGANA DEFENCE INNOVATIONS PRIVATE LIMITED(MSE,MII)Under PMA",3,6.32
GEM/2026/B/7623136,1077865.0,1085600.0,1120600.0,RV TECHNOLOGIES(MII)Under PMA,3,3.96
GEM/2026/B/7629088,1055800.0,1062990.0,1083500.0,SHREE SHYAM COMPUTER(MII)Under PMA,3,2.62
GEM/2026/B/7542289,890800.0,910000.0,921000.0,"KSHIRSAGAR ENTERPRISES(MSE,MII)Under PMA",5,3.39
GEM/2026/B/7579810,117611.0,119155.2,127167.0,M/S LAXMI ENTERPRISES(MSE)Under PMA,3,8.13
GEM/2026/B/7588930,4847004.46,4953029.37,5052089.7,INNOVATIVE SOLUTIONS(MII)Under PMA,3,4.23
GEM/2026/B/7628957,8854055.7,9030930.35,9048993.15,A SQUARE TECHNOLOGIES(MII)Under PMA,3,2.2
GEM/2026/B/7633998,237000.0,239784.06,252500.0,"DIGITAL AGENTS INTERACTIVE PRIVATE LIMITED(MSE,MII)Under PMA",3,6.54
GEM/2026/B/7651962,19263.0,19300.0,19500.0,M S CORPORATION(MSE)Under PMA,5,1.23
GEM/2026/B/7587805,256972.77,330000.0,375200.0,DEVENDRA KUMAR GUPTAUnder PMA,3,46.01
GEM/2026/B/7649133,57380.0,57440.0,63200.0,RS SMART TECH(MSE)Under PMA,3,10.14
GEM/2026/B/7633547,3947105.0,4010725.0,4243036.0,"TECHNOLOGENT ENTERPRISES(MSE,MII)Under PMA",3,7.5
GEM/2026/B/7656807,43360.0,43440.0,45419.81,M/S JAI AMBEY TRADERS(MSE)Under PMA,7,4.75
GEM/2026/B/7644816,683060.0,684040.0,685020.0,HARMINDER SINGH(MII)Under PMA,3,0.29
GEM/2026/B/7641214,267900.0,276240.0,298625.0,A.B OVERSEAS(MSE)Under PMA,3,11.47
GEM/2026/B/7472051,3069405.0,4004420.42,4008420.84,RAJINDER ENTERPRISES(MII)Under PMA,3,30.59
GEM/2026/B/7501202,3234000.82,3246180.0,,SIYARAM SOLUTION Under PMA,2,
GEM/2026/B/7532020,105500.0,105890.0,108500.0,Maa Vaishno IT Solutions (MSE) Under PMA,4,2.84
GEM/2026/B/7588932,915108.0,945188.0,950000.0,jk stationery (MII) Under PMA,3,3.81
GEM/2026/B/7469766,1297890.0,1323289.0,,JBS TECHNOLOGY PRIVATE LIMITED (MII) Under PMA,2,
